word,clue,length
"АЇД","Володар царства, звідки не повертаються",3
"АТО","Скорочена назва воєнної операції на Донбасі",3
"АУТ","М'яч поза межами поля",3
"БАК","Ємність для рідини",3
"БАС","Найнижчий голос у хорі",3
"БІГ","Швидке пересування на ногах",3
"БІК","Сторона тіла чи предмета",3
"БОГ","Вище надприродне божество",3
"БУГ","Річка, що дала назву місту Миколаєву в гирлі",3
"БУК","Дерево, що дало ім'я Буковині",3
"ВАЛ","Земляна насипна укріплена споруда",3
"ВУЖ","Змія з жовтими вушками, цілком мирна",3
"ГАЗ","Паливо в балоні чи трубі",3
"ГАЙ","Невеликий листяний ліс",3
"ГЕН","Ділянка спадкової інформації",3
"ГІД","Той, хто проводить екскурсії",3
"ГОЛ","Влучання м'яча у ворота",3
"ГРА","Розвага за певними правилами",3
"ДАР","Подарунок, талант",3
"ДАХ","Верхнє покриття будівлі",3
"ДВА","Число після одного",3
"ДІД","Батько батька або матері",3
"ДІМ","Житлова будівля",3
"ДОЩ","Атмосферні осадки у вигляді краплин",3
"ДУБ","Міцне листяне дерево, символ України",3
"ЖУК","Комаха з твердими надкрилами",3
"ЖУК","Комаха з твердими надкрилами",3
"ЗУБ","Кістка в роті для жування",3
"ІОН","Атом, що загубив або прихопив електрон",3
"ЙОД","Елемент, що пече на ранах і бракує в морі... ні, навпаки",3
"ЙОД","Елемент",3
"КИЙ","Легендарний засновник Києва",3
"КИТ","Найбільший ссавець, що живе в морі",3
"КИТ","Найбільша тварина планети",3
"КІТ","Пухнастий домашній хижак, що говорить ""мяу""",3
"КОД","Секретна комбінація",3
"КУБ","Шість квадратів, що зжилися разом",3
"ЛЕВ","Хижак, ""цар звірів""",3
"ЛЕВ","Цар звірів із гривою",3
"ЛІС","Багато дерев на одній території",3
"ЛІС","Велика площа",3
"ЛОБ","Верхня частина обличчя",3
"ЛОТ","Одиниця аукціонного торгу",3
"ЛУГ","Трав'яниста рівнина для сінокосу",3
"ЛУК","Зброя лучника",3
"МАГ","Професійний чарівник",3
"МАК","Червона квітка, символ пам'яті",3
"МАО","Комуністичний лідер, що очолив Китай після 1949 року",3
"МАТ","Кінець шахової партії",3
"МАТ","Кінець партії на шаховій дошці",3
"МАЯ","Цивілізація Центральної Америки з точним календарем",3
"МИС","Виступ суходолу, що вдається у море",3
"МІФ","Давнє переказне оповідання про богів і героїв",3
"МОХ","Зелений килим на пнях і каменях",3
"МУЛ","Син коня й ослиці",3
"НІЖ","Прибор для різання",3
"НІЛ","Ріка, без якої не було б фараонів",3
"НІЛ","Найдовша річка Африки",3
"НІС","Орган нюху",3
"НІЧ","Темна частина доби",3
"ОКО","Орган зору",3
"ООН","Міжнародна організація, заснована після Другої світової",3
"ОСА","Комаха, що жалить",3
"ОСА","Комаха з жовто-чорним черевцем і жалом",3
"ПАС","Передача м'яча партнеру",3
"ПАТ","Нічия через відсутність ходів на дошці",3
"РАБ","Людина, позбавлена особистої свободи і власності",3
"РАК","Прісноводна істота з клешнями",3
"РИМ","Місто, куди ведуть усі дороги",3
"РИМ","Столиця імперії, що правила Середземномор'ям",3
"РИС","Дрібне біле зерно для гарніру",3
"РИФ","Підводна пастка для кораблів",3
"РІВ","Водяна перешкода довкола замку",3
"РІГ","Гострий виступ на голові тварини",3
"РІГ","Твердий виріст на голові оленя чи бика",3
"РІЙ","Бджолиний натовп у польоті",3
"РІЙ","Гурт бджіл навколо матки",3
"РІК","Проміжок часу з 12 місяців",3
"РОТ","Орган мовлення і їжі",3
"САД","Ділянка з фруктовими деревами",3
"СИН","Особа чоловічої статі стосовно батьків",3
"СИР","Молочний продукт",3
"СІК","Напій з фруктів чи овочів",3
"СІМ","Число після шести",3
"СІЧ","Запорозька столиця вольниці",3
"СІЧ","Укріплений табір запорізьких козаків",3
"СОМ","Вусатий велетень річкового дна",3
"СОМ","Велика прісноводна риба без луски",3
"СТО","Число, що дорівнює десяти десяткам",3
"СУП","Рідка страва з овочами й м'ясом",3
"США","Держава, що здобула незалежність 1776 року",3
"ТИР","Місце, де промах — це норма, а не привід для сорому",3
"ТІК","Місце для обробки зерна",3
"ТРИ","Число після двох",3
"ТУЗ","Найстарша карта в колоді",3
"УХО","Орган слуху",3
"ХАН","Титул монгольського чи татарського правителя",3
"ХІД","Черговий крок у грі",3
"ХОР","Колектив співаків",3
"ЦАР","Титул монарха в Московській державі",3
"ЦЕХ","Об'єднання ремісників однієї спеціальності",3
"ЧАЙ","Гарячий напій із заварки",3
"ЧЕК","Паперовий доказ покупки",3
"ЧИП","Мозок електроніки",3
"ШАХ","Перський монарх або напад на короля",3
"ШЕФ","Головний на кухні чи в конторі",3
"ШИЯ","З'єднує голову з тулубом",3
"АБАК","Стародавній рахунковий прилад із кульками",4
"АЗІЯ","Найбільший континент планети",4
"АЗОВ","Найдрібніше море світу біля українських берегів",4
"АЗОТ","Газ",4
"АМУР","Крилатий стрілець із римських міфів",4
"АМУР","Річка на кордоні Росії й Китаю",4
"АНДИ","Найдовший гірський ланцюг суходолу",4
"АРАЛ","Море",4
"АРЕС","Олімпійський бог, якому війна — мати рідна",4
"АРІЯ","Сольний номер в опері",4
"АТОМ","Той, що греки вважали неподільним — і помилялися",4
"АТОМ","Найменша частинка хімічного елемента",4
"БАБА","Мати батька або матері, розмовно",4
"БАКУ","Столиця на березі Каспію",4
"БАЛІ","Індонезійський острів храмів і рисових терас",4
"БАНК","Установа для зберігання грошей",4
"БАРД","Виконавець власних пісень",4
"БЕЗЕ","Солодкий поцілунок французькою",4
"БЕРН","Столиця з ведмежою ямою",4
"БИНТ","Біла стрічка на рану",4
"БЛОК","Захисна дія над сіткою у волейболі",4
"БОКС","Двобій на рингу в рукавицях",4
"БОРГ","Те, що платежем красне",4
"БОРЩ","Український суп із буряком",4
"БРАТ","Син тих самих батьків, чоловік",4
"БРУТ","Один з убивць Цезаря, колишній його союзник",4
"БУРЯ","Сильний вітер з дощем чи снігом",4
"БУЧА","Місто в Київській області",4
"БЮСТ","Скульптура по груди",4
"ВАЗА","Посудина для квітів",4
"ВАТТ","Одиниця вимірювання потужності",4
"ВЕЖА","Пізанська похилилась, Ейфелева встояла",4
"ВІЗА","Дозвіл у чужу країну",4
"ВІРА","Штраф за вбивство вільної людини за Руською правдою",4
"ВІРШ","Твір, написаний у поетичній формі",4
"ВІЧЕ","Народні збори в давній Русі",4
"ВОВК","Хижий лісовий звір, родич собаки",4
"ВОВК","Хижак",4
"ВОЛЯ","Те, за що козаки вмирали охочіше, ніж за гроші",4
"ВОЛЯ","Головна цінність, за яку боролися козаки",4
"ВОСК","Будматеріал бджіл і свічок",4
"ГАНА","Західноафриканська країна какао",4
"ГАНГ","Священна річка Індії",4
"ГЕРА","Ревнива дружина Зевса",4
"ГЕРБ","Символічний знак держави чи роду",4
"ГЕРБ","Символічний знак держави чи роду",4
"ГЕРБ","Символічний знак держави чи роду",4
"ГЕРЦ","Одиниця вимірювання частоти",4
"ГІМН","Урочиста пісня держави",4
"ГІМН","Урочиста пісня-символ держави",4
"ГІМН","Пісня на честь переможця",4
"ГІПС","Твердий рукав на зламану руку",4
"ГОБІ","Пустеля на кордоні Монголії й Китаю",4
"ГОРА","Висока природна форма рельєфу",4
"ГОТИ","Германський народ, що завоював Рим",4
"ГРАБ","Дерево з найтвердішою деревиною наших лісів",4
"ГРИБ","Той, що росте після дощу",4
"ГРИМ","Фарба, що робить юнака дідом",4
"ГРИФ","Хижий птах-падальник",4
"ГРІМ","Гучний звук під час бурі",4
"ГРОТ","Печера з морським входом",4
"ГУБА","Частина обличчя навколо рота",4
"ГУНИ","Кочовий народ Аттіли, що тіснив Римську імперію",4
"ДВІР","Ділянка землі біля будинку",4
"ДЕЛІ","Столиця з давніми могольськими пам'ятками",4
"ДЖИН","Мешканець лампи з трьома бажаннями",4
"ДИНЯ","Солодкий жовтий баштанний плід",4
"ДИСК","Метальний снаряд або платівка",4
"ДИСК","Плаский снаряд для метання",4
"ДОЛЯ","Життєвий шлях, талан людини",4
"ДРІТ","Тонкий гнучкий металевий стрижень",4
"ДРОН","Літак, що поміщається в рюкзак",4
"ДРОН","Безпілотний літальний апарат",4
"ДРУГ","Близька, віддана людина",4
"ДУЕТ","Пісня на двох",4
"ДУМА","Козацький епос у виконанні кобзаря",4
"ЕГЕЙ","Море, назване іменем батька Тесея",4
"ЕРОС","Бог, що стріляє без промаху в серця",4
"ЕТНА","Сицилійська сусідка, що курить безперервно",4
"ЕТНА","Найактивніший вулкан Європи",4
"ЕФІР","Простір, у якому живе радіо",4
"ЄВРО","Спільна валюта двадцяти країн",4
"ЄМЕН","Країна на південному краю Аравійського півострова",4
"ЄНОТ","Звір-полоскун у масці",4
"ЄНОТ","Смугастохвостий звір-полоскун",4
"ЖАБА","Земноводне, що квакає",4
"ЖАБА","Земноводне",4
"ЖИТО","Злакова культура для чорного хліба",4
"ЗВІР","Дика тварина лісу чи степу",4
"ЗВІТ","Документ, який завжди на вчора",4
"ЗЕВС","Головний громовержець Олімпу",4
"ЗЕВС","Верховний бог грецького пантеону",4
"ЗИМА","Найхолодніша пора року",4
"ЗЛІТ","Момент відриву від землі",4
"ЗМІЯ","Плазун без ніг",4
"ЗМІЯ","Плазун без ніг",4
"ЗНАК","Умовне позначення чогось",4
"ЗУБР","Найважча тварина Європи",4
"ЗУБР","Європейський лісовий велетень",4
"ІГОР","Син Рюрика, князь, убитий деревлянами",4
"ІДЕЯ","Те, що приходить у душі — і тікає без блокнота",4
"ІДОЛ","Об'єкт релігійного поклоніння, божок",4
"ІЗЮМ","Місто на Харківщині над Осколом",4
"ІКАР","Літун, якому сонце розтопило крила",4
"ІКАР","Юнак з міфу, що злетів надто близько до сонця",4
"ІКВА","Річка Волині та Тернопільщини",4
"ІКРА","Делікатес, що коштує як золото",4
"ІНЕЙ","Білий морозний наліт на поверхнях",4
"ІНКИ","Цивілізація гірських терас в Андах",4
"ІРАК","Країна між Тигром і Євфратом",4
"ІРАН","Персомовна країна на Близькому Сході",4
"ЇЖАК","Колючий лісовий звірок",4
"ЇЖАК","Колючий нічний звір",4
"ЙОГА","Індійська практика розтяжки й дихання",4
"КАВА","Гарячий напій із зерен, обсмажених і змолотих",4
"КАДР","Один стоп-момент фільму",4
"КАЇР","Столиця над Нілом біля пірамід",4
"КАРЛ","Франкський король, коронований імператором на Різдво",4
"КАСА","Місце, де черга закінчується грошима",4
"КАЯК","Вузький легкий човен для одного веслувальника",4
"КВАС","Напій із чорного хліба",4
"КИЇВ","Столиця України",4
"КИЇВ","Столиця України на Дніпрі",4
"КІНО","Мистецтво рухомих зображень на екрані",4
"КІНЬ","Домашня тварина для верхової їзди",4
"КІНЬ","Фігура",4
"КІНЬ","Свійська тварина для їзди верхи",4
"КІПР","Острів",4
"КІТО","Столиця майже на самому екваторі",4
"КЛАС","Група учнів одного року навчання",4
"КЛЕН","Дерево з канадського прапора",4
"КЛІЩ","Малий кровопивця з високої трави",4
"КЛІЩ","Дрібний кровосисний членистоногий",4
"КЛУБ","Організація гравців і вболівальників",4
"КЛЮЧ","Інструмент для відмикання замка",4
"КОЗА","Невелика рогата жуйна тварина",4
"КОЗА","Свійська рогата тварина з бородою",4
"КОРА","Твердий зовнішній шар стовбура дерева",4
"КОРТ","Майданчик для тенісу",4
"КОСА","Вузька намивна смуга суходолу біля берега",4
"КРАБ","Морська істота з клешнями",4
"КРАБ","Морська істота з клешнями і панциром",4
"КРЕЗ","Легендарно багатий цар Лідії, чиє ім'я стало прислів'ям",4
"КРИМ","Півострів на півдні, оточений двома морями",4
"КРИТ","Острів Мінотавра",4
"КРИТ","Найбільший грецький острів",4
"КРІП","Пахуча зелень для соління огірків",4
"КРІТ","Сліпий землекоп",4
"КРІТ","Сліпий землерийний звір",4
"КРУК","Великий чорний птах-віщун",4
"КУБА","Острівна держава з сигарами й ромом",4
"КУПЕ","Кімната на чотирьох у потязі",4
"КУТЯ","Головна страва Святвечора",4
"ЛАВА","Розпечена рідка маса, що витікає з вулкана",4
"ЛАВР","Листок для борщу й вінка переможця",4
"ЛАМА","Верблюд без горба з Анд",4
"ЛАМА","Довгошиїй родич верблюда в Андах",4
"ЛАПА","Кінцівка звіра чи птаха",4
"ЛАСО","Аркан ковбоя",4
"ЛАТЕ","Кава, що здебільшого молоко",4
"ЛЕНА","Одна з найбільших річок Сибіру",4
"ЛЕСЯ","Українка, що писала «Лісову пісню»",4
"ЛЕСЯ","Поетеса, авторка Лісової пісні, за іменем",4
"ЛИЖІ","Дошки для ковзання по снігу",4
"ЛИПА","Медове дерево або підробка",4
"ЛИСТ","Папір для написання або зелена частина рослини",4
